userName,score,Date,content
Bayu setiawan,5,12/26/2021 9:48,"sementara ini baguss,sampai dgn info pemadaman terupdate ðŸ‘ŒðŸ‘Œ"
Bram Juli,5,12/26/2021 8:59,Pln mobile mudah
Nor Budi Cahyono,1,12/26/2021 7:26,"Aplikasi masih banyak bug: - Mau ganti alamat pelanggan tidak bisa - Ada notif muncul tapi setelah aplikasi dibuka, notif hilang"
Fredy Budimansyah,1,12/26/2021 6:26,tidak bisa klik foto di menu rekam meter
Zaenab Ilyas,5,12/26/2021 4:42,Layanannya cepat ðŸ™ðŸ™ðŸ™
Joko Prasetio,1,12/26/2021 3:24,Terlalu lambat dalam hal pengaduan hampir bisa di bilang tidak berfungsi ni aplikasi.sampah
PEDAGANG PULSA,4,12/26/2021 0:39,"saran aja untuk menu histori transaksi token atau pembayaramn tagihan harus ada cetak struk pembelian,,atau bisa share transaksi ke wa,pesan atau lain2"
Blogger Desa,4,12/26/2021 0:17,Terima kasih. Sangat mendukung
Rifaldo Arma bhia,2,12/25/2021 23:47,Aplikasi ini sangat membantu
Muhammad Sulaiman,1,12/25/2021 22:23,Lambat pelayanan nya tolong di perbaiki
Bozz Bhathang,5,12/25/2021 21:44,Blm bisa download
Reynald Tea,5,12/25/2021 21:13,"Mantap. Kalau bisa lebih ditingkatkan kembali, Dan untuk para pemenang undian cuan kenapa tidak di publikasikan di kolom berita pln mobile"
Lianto Berliano,3,12/25/2021 20:39,"Sya sudah lapor gangguan kok ga respon ya ,padahal listrik sudah lama padamðŸ˜©"
Bayu Sunyoto,5,12/25/2021 19:08,"Kinerja yg resposif, terimakasih"
Firman Hidayat,5,12/25/2021 18:47,Sangat membantu. Kalau bisa kerjasama sama bank nya d perbanyak. Metode pembayaran jdi makin banyak opsi. Seperti via mobil banking
Wahyu Kamajaya,5,12/25/2021 18:37,"fast respon, luarbiasaðŸ‘ðŸ»"
A Doi Dekick,5,12/25/2021 18:13,"Sangat membantu dalam berbagai hal menCakup pembelian TOKEN, PEMBAYARAN PRAbayar, PENYAMBUNGAN BARU maupun SEKEDAR PROBLEM SEPUTAR jaringan Listrik... Saya sdah dbantu araHan sampai mengerti Cba DOWNLOAD aplikasi mobile ini dgn memasukkan code referal 2CBJAK dan dapatkan BONUS undian keberuntungan menarik.. Pastinya segera paSang dan Buktikan Sendiri GOOD JOB"
rudi yanto,1,12/25/2021 17:39,"Saya sudah melaporkan keluhan, karena meteran listrik yang saya pakai tidak bisa di isi, dan jawaban dari pihak PLN katanya karena ada peremajaan meteran, dan katanya akan segera di ganti baru tapi semenjak saya laporan dari 4 hari ini belum ada tindakan, gimana dong PLN kalau begini terus listrik saya padam, kenapa tidak secepat nya di ganti,ini kan bukan kesalahan saya,payah kalau begini,!!!"
Kusumo Sigit,5,12/25/2021 17:12,Sangat bermanfaat dan penggunaan mudah
Ajied Dhoank's,5,12/25/2021 17:00,Mohon tambahkan vitur cetak struk dong dan fee untuk admin diatur di apk biar kita ada pendapatan dari pelanggan
Firmansyah Hs,5,12/25/2021 16:45,Sangat membantu
Si BanditCot,3,12/25/2021 16:03,"Tambahin menu PENGADUAN untuk layanan ICONNET, pengaduan lewat WA sangat lambat responnya"
Icha Amelia,5,12/25/2021 15:23,halo saya senang dengan aplikasi ini tapi saya masih bingung bagaimana cara menghapus akun pada aplikasi ini?
Cibenk Cemonk,5,12/25/2021 14:19,Sangat membantu
BTS CREW,5,12/25/2021 13:47,Sangat membantu
Biar Pada sehat,5,12/25/2021 12:43,"Pengaduan gak pernah bisa, gagal terus. PERCUMA"
Safriana Devi,5,12/25/2021 11:30,PLN mobile mantap
Theo Susanto s,4,12/25/2021 11:01,"Mau tanya apa PLN mobile bisa utk beberapa ID? Misalnya PLN rumah, toko, kantor dalam 1 app di 1 handphone"
muhammad andika,1,12/25/2021 10:45,"Aplikasi tidak bisa catet meter sendiri, selalu gagal dan keluar setelah foto meteran nya"
Miguel Adw,5,12/25/2021 10:32,"Aplikasi nya Oke banget, sangat bermanfaat, kalau boleh usul tambah in fitur yang lain dong.... Pulsa dsb, terima kasih"
irol Sulaiman,5,12/25/2021 10:06,Bagus dan menarik..semoga pln makin didepan..ðŸ’ªðŸ’ª
Imelia 1674,5,12/25/2021 9:45,Sangat membantu ..sangat praktis hanya dengan telunjuk bisa semua ...
Martin Garixs,1,12/25/2021 9:19,Pengaduan yang ga guna banget.. CS nya ga guna..ga ada balasan sama sekali.mana rumah udah padam 3 hari
Sar Woto,5,12/25/2021 8:33,Pelayanan sangat mudah dan bermanfaat
Walji Anggrek,3,12/25/2021 8:07,Untuk gangguan cepat di tangani sukses untuk Pln dan tingkatkan untuk pelayanan masyarakat
Kusman Suciman,5,12/25/2021 7:54,Baru mau mencoba aplikasi PLN Mobile
Heru Susanto,5,12/25/2021 7:14,"Aplikasi ini sdh sangat membantu masyarakat dari menghindaru birokrasi ataupun calo di kantor PLN. Saya sdh coba pasang baru, proses cepat, tapiiii, petugas PLN dan penerbit SLO masih minta uang. Padahal jelas di aplikasi sdh termasuk semua. Case ini terjadi banyak ternyata, aplikasi ini sdh buat PLN keren, cuma hal itu yg buat miris, semoga jd perhatian kedepan. Sukses selalu PLN Mobile"
Ernhie M,4,12/25/2021 6:38,"Bagus dan sangat membantu,, tapi sayang tdk ada fitur cetak struk. semoga kedepannya bisa diadain cetak struk"
Setiyo Budi,5,12/25/2021 6:04,"Bagus, Pelaporan dan Penanganan Cepat."
Adi Wahid,5,12/25/2021 5:30,Sangat terbantu dengan aplikasi ini
Fitri Purwati,1,12/25/2021 4:22,"PLN nol komplain dri abis mahgrib Sampek akhir nya subuh ga ada tindakan, d komplain kta nya proses tp nyata nya nihil, d aplikasi mobile blom ada tindakan tp d bilang slsai,,, ga jlsðŸ‘Ž"
Aditya yogik,5,12/24/2021 23:05,Mantab aplikasinya
Bakrie Alamsyah,5,12/24/2021 23:03,Sangat sangat membantu sekali... suksesss amanah buat PLN mobile
Saiful Boston,5,12/24/2021 22:44,PLN mobile terbaik
Hariri Ag,5,12/24/2021 21:05,"Aplikasi ini dpt menghindari kita dari oknum2 nakal. Dan sbg konsumen dpt menerimak haknya secara baik. Sukses utk PLN, pertahankan pelayanan ini sampai kapanpun."
Muh Yuri,5,12/24/2021 20:55,Sangat membantu
Yoppy Prasetyo,5,12/24/2021 20:50,pelayanan cepat lngsung ditanggapi kurang lebih 1 jam setelah pengaduan
andi ismajaya,5,12/24/2021 19:13,Aplikasi PLN Mobile sangat bagus dan sangat membantu untuk pembayaran dan pembelian token listrik.
maman Suparman,5,12/24/2021 19:11,Mantapp penangan quick respon
Putu Saria,5,12/24/2021 19:04,Pelayanan cepat terimaksih PLN
Perumahaan Solo Raya,3,12/24/2021 18:59,"Mohon infonya min, saya pembelian Token di konter setelah struk kecetak nomornya saya masukan gk bisa alias gagal trs padahal nomor yg saya masukan benar, saya komplain ke konter disarankan ke PLN mohon pencerahannya min terima kasih"
yanuar susetyo,1,12/24/2021 18:37,Pelayanan lama banget..... Sudah lapor dari jam 5 sore by aplikasi sampai sekarang hamper jam 8 malam petugas tidak datang-datang.... Mau masukin token pulsa gak bisa ..... Keburu mati ini listrik dirumah!!!!
Panji Bae,1,12/24/2021 18:35,Saya dari kemaren laporan keluhan lewat apk ini. Sampai hari ini gak ada tanggapan...
Fitri Ana,5,12/24/2021 18:26,PLN mobile terbaik
Budi Subaryadi,3,12/24/2021 17:13,Untuk update lokasi Gangguan belum bisa dipakai. Untuk pengaduan gangguang harus telp. 123. mohon Segera di-update fitur2nya biar Bisa dipakai..
mario pulana,2,12/24/2021 16:15,"Tidak bisa dipakai membeli token, pdhl sdh disambungkan ke link aja tetap saja tdk bisa diproses... Parah"
rasi maman,5,12/24/2021 15:31,layanan nya cepet
Imam Amirullah,5,12/24/2021 15:19,"Sangat membantu untuk Pencatatan Kwh mandiri dan Hasil estimasi bulanan pemakaian yg akan diBayar Gak pke kirakira gak pke mendugaduga,semua Jelas jumlah nya SARAN : lebih diBayakin kolom ""ID Pelanggan Saya"" dari awalnya 4 ID pelanggan bisa 6 atau 10 ID Pelanggan (agar bisa membantu tetangga sekitar mengetahui tagihan bulanan dan Mencatata kwh)"
Yusni Dar,5,12/24/2021 14:42,PLN mobile terbaik
Nia Aryadewi,5,12/24/2021 14:36,Sangat memudahkan dan memuaskan
Nofa Wijaya,3,12/24/2021 14:33,"Systemnya udah ok, yg disayangkan Respon aduan masih lebih cepat mengubungi call center, tapi biaya telp dengan menggunakan HP masih terbilang mahal."
EDL Vaix,5,12/24/2021 14:01,"Aplikasi ini sangat membantu, Pembelian token listrik pernah gk bisa diinput, tapi setelah instal aplikasi ini, lewat menu pengaduan akhirnya dilayani dan sukses, cuman mesti agak sabar karena membutuhkan waktu untuk perbaikannya. Tingkatkan terus."
Shoodiq Alfadlli,3,12/24/2021 13:56,Tidak bisa lihat riwayat pemakaian listrik bulan sebelumnya. Mohon ditambah fiturnya. Tks
Eko Suprapto,5,12/24/2021 13:44,Raih kesempatan mendapatkan mobil listrik dengan menggunakan ode ini EFY681
Ahmad,1,12/24/2021 13:42,"Aplikasinya bagus, realita layanan lapangan sangat buruk, tidak bermutu, voltase buruk tidak sesuai standar 220V, sehari padam puluhan kali, padam ber jam-jam, harusnya bisnis saling menguntungkan bukan seperti ini... tidak sesuai Undang undang ketenagalistrikan..."
Andri Nurul Fajri_080 Andri Nurul Fajri _080,5,12/24/2021 12:40,mantap.. beli token bebas biaya admin....tapi belom paham tentang undian kupon nya
Wayan Suardana,5,12/24/2021 12:33,"Segalanya excellent ,mngkin saya nya yg gaptek tapi untuk melakukan pembayaran pasca bayar bagaimana ya ? Kalo beli token ,mudah"
Abdul Azis,5,12/24/2021 11:14,Pln mobile terbaik
Bella Nurhidayanti,4,12/24/2021 11:11,Bagus aplikasi ini buat laporan
Ari Oktaviano,1,12/24/2021 11:07,"Tidak berguna aduan tidak direspon ,meloporkan aduan belum ada kejelassan tapi status masalah sudah selesai"
Evi Susanti,5,12/24/2021 11:05,Sangat memuaskan
Rudi Getuk,5,12/24/2021 10:58,Sangat membantu
Buya Okan,5,12/24/2021 10:55,"Alhamdulillah.. aplikasi ini mampu mengubah sistem dan kinerja SDM di dalamnya, untuk saat ini, menjadi lebih baik, lebih responsif, lebih mengusung anti pungli, lebih transparan.. Semoga Allah Ta'ala memberikan kemudahan di setiap urusan internal eksternal PLN dimanapun berada dan keberkahan rezeki di setiap lini penggerak PLN, jauh dari harta haram dan ghassab.. Sehingga Allah Ta'ala memberkahi negeri tercinta ini.. Aamiin Allahumma Aamiin.."
Samsung Violet,5,12/24/2021 10:53,Sangan membantu apk nya...
Hasmi Ati,5,12/24/2021 10:39,PLN mobile terbaik
Syifa 5156,5,12/24/2021 9:56,Pln mobile mudah
Puspita Channel,1,12/24/2021 9:43,Aplikasinya membingungkan
Letho Pasopati,5,12/24/2021 9:34,Aplikasi ini sangat membantu
Desi Rose Hertina,4,12/24/2021 9:34,Semoga kinerja aplikasi kesetabilannya selalu konsisten terimakasih pln mobile
Amirudin Maruf,1,12/24/2021 9:17,Udah sebulan komplen blm ada tindak lanjut nya
Lisa Koto,5,12/24/2021 9:02,Terimakasih untuk layanan nyaâ¤ï¸
Aries Alhasani,1,12/24/2021 8:12,Kecewa sama pelayanan nya
andi andi,5,12/24/2021 6:44,"Sekarang lebih mudah catat meteran dan lihat tagihan, pakai PLN mobile"
YOK,5,12/24/2021 6:19,"Bagus dan sangat membantu, tpi sayangnya metode pembayaran cuma pake bank. Knpa tidak pake cara lain.. Misal bisa bayar di alfa atau ovo, gopay"
amri ahmad,5,12/24/2021 5:00,sangat membantu
Uthek Chanel,1,12/24/2021 2:53,"Keluhan / pengaduan lewat aplikasi ini tak ada guna, tak ada respon yg nyata. Petugas teknis ditugasi ke tempat pelanggan ternyata tak ada yang datang.ðŸ˜’ðŸ˜’ðŸ˜’"
Rusli,5,12/23/2021 23:21,Mantap sekali
Pimpi Nugraha,5,12/23/2021 23:16,"Sangat membantu dengan aplikasi ini ,btw untuk mengecek sisa kwh dan update pemadaman listrik blm tersedia ya,karena lokasi lumayan jauh dari meterannya dan tetangga juga jauh2 juga"
Asep Rochmat Sofandi,5,12/23/2021 22:58,Mempermudah laporan gangguan
Rr erma Heriyanti dwiyana,5,12/23/2021 22:39,PLN Oce dech..
Tri Kardono,4,12/23/2021 22:15,"Aplikasi ini sangat bagus, membantu sekali dalam hal kelistrikan / pln."
capu era,1,12/23/2021 21:31,"Applikasi seolah tidak berguna, pelaporangangguan tanggapannya seolah2 asal2an,listrik belum nyala di applikasi sdh di nyatakan nyala... Tolong benerin dulu systemnya,masih jauh dr kata menyamankan user,maaf sy bintang 1"
Ragil Tri Sujatmiko,5,12/23/2021 21:11,Sangat bermanfaat
Fazatin khairunnisa,5,12/23/2021 20:58,"Aplikasinya sangat membantu, apalagi saat malam dan hujan... Bisa diandalkan, anti ribetÂ² club."
Yanti Apriliyani,5,12/23/2021 20:34,respon cepat solusi cepat puas
Taufanny Putri,1,12/23/2021 20:20,Ribet mau pengaduan
Edhy ghentonx,1,12/23/2021 20:16,"Gimana ni pln masuk,in token listrik kok gagal terus,malah gelap gulita kayak jam dulu,pelayanan kurang bagus"
Ika Levine,1,12/23/2021 19:55,Sampah.. Gabisa bantu apa apa.. Bner2 sampah
Fitri Yati,5,12/23/2021 19:40,Sangat terbantu untuk cek dan pembelian pln
Smart Net,5,12/23/2021 19:23,Dengan apllikasi ini..semua lbeih mudah dan cepat..sukses PLN KU
ikas,5,12/23/2021 18:26,Memudahkan pelanggan PLN ðŸ‘ðŸ‘ðŸ‘
sony destroyer,1,12/23/2021 18:21,"Aplikasi burik, saya mau mengadukan tentang kabel listrik yg jatuh ditengah jalan, sama dengan 123 sudah dihubungi jawabannya tetap sama, akan segera diperbaiki, ini pulsa kita beli bayar listrik jg tp ttp saja dipersulit kalo mengajukan pengaduan"
Haerani Haer,1,12/23/2021 18:15,Satu dlu soalnya blm bisa catat meter
Arifin youtube BAGAN,1,12/23/2021 18:08,GX jelas aplikasi nya 1 bintang dulu ea maaf
Herman Pelani,5,12/23/2021 17:19,Ok terimakasih pln mobile
Dewi pus_Pita,1,12/23/2021 17:00,Aplikasi gak guna. Listrik mati dari kemarin.. Kirim pengaduan ee taunya aplikasi udah selesai aja.. Pdhl petugas g ada yang datang. Di chat wa ktanya gangguan banyak. Tp online terus.
ika rahayu,5,12/23/2021 16:42,Sangat membantu
Abdul Rahman,1,12/23/2021 16:25,Katanya sudah bisa daftar online..nyatanya masih harus wira wiri ke ktr.pln Tuk bawa berkas n matrei...mudah nya dimana?
Zahdan Setiawan,5,12/23/2021 16:11,Kk gi mna cara cek nox ressi yg hilang udh blajar dri yotube tpi ngk fahamÂ²
Ari Sulaimi,5,12/23/2021 15:23,Pln mobile mudah
Rani Nugraha,4,12/23/2021 15:11,Respon sangat baik
Haris yuswanto,5,12/23/2021 14:47,Sangat membantu
Naba Wiyan,5,12/23/2021 14:27,Apk yg membantu plgan....
Muzammil Ahmed,5,12/23/2021 13:48,Pelayanan super bagus Pelayanan ok. Smoga sukses
Flamingo vallery,5,12/23/2021 13:39,Aplikasi yang sangat membantu pelanggan dalam operasional dan kebutuhan sehari-hari berhubungan dengan listrik.Apresiasi kepada PLN Indonesia.Saran agar untuk pembayaran ada juga link Bank Mandiri.Karena untuk pembayaran non taglis tidak ada pembayaran via Mandiri Bank.Pengalaman saya untuk pembayaran non taglis 23/12/2021 Pemasangan Baru.Demikian terima kasih .#terimakasih PLN
Rusmani Munawar,5,12/23/2021 12:04,Pln mobile terbaik
Tri M,1,12/23/2021 12:01,Bintang nya 1 aja dl ya.. Lama verify tokennya ... Hrs logout dl.. balik lg ke yg lama aja dl bayar nya..
muhammad romli C1kpp,4,12/23/2021 11:45,Masih agak susah untuk aktivasi top up setiap diminta kode otp tak pernah di kirim
Wenpi,5,12/23/2021 11:24,Apkikasi nya Bagus dan sangat membantu
Yus Sailana,5,12/23/2021 11:18,proses dan respon cepat
Themay Raharja,4,12/23/2021 10:40,Udah pasang iconnet tp di Cek aplikasi ini pakai id pln belum tercover....?
Firman Syach,5,12/23/2021 10:10,aplikasi ini sangat mantap
Sri Suhastuti,1,12/23/2021 8:51,Masang listrik baru dari tggl 12/12/2021 sudah di pasang .tapi pas di pasang meteran tulisannya rusak..sampai sekarang belom di ganti2... tolong di tindak lanjuti...terima kasih
Rosalia Rodja,5,12/23/2021 8:29,Aplikasi yg sangat berguna tuk membantu pelanggan pln
danker hermawan,4,12/23/2021 6:26,Mohon tingkatkan lagi servIce pelayanan PLN mobile lebih baik lagi....
Mardianto Syarif,5,12/23/2021 5:58,"Aflikasi ini sangat membantu dlm pekerjaan sy sebagai pelayan masyarakat khususnya di pln mksh,,,"
Nasir Ifa,5,12/23/2021 5:46,Pelayanan PLN bagus
Suranti Clp,3,12/23/2021 5:32,"Sya beli pulsa di masukin gagal terus itu gmna iya?? Udh cba pkai aplikasi pln juga gak bisa Tlong solusinya,,, mksh sblmnya"
Disdik Ketapang,1,12/23/2021 5:01,"Update riwayat pembelian sangat lambat. Tanggal 7 Des saya melakukan transaksi 2 kali dengan token 100 dan 200 ribu. Yang masuk hanya yang 100ribu. Yang 200 ribu tidak ada di notifikasi. Ketika tanggal 23 diiskan token 200 ribu yang belum dimasukkan kemarin, hasilnya gagal. Jadi hilang dah 200 ribu."
Sandro PM,5,12/23/2021 4:40,"Sangat berfaedah, Pertahankan dan Tingkatkan, Jaya Jaya Jaya"
SETIAWAN,5,12/23/2021 2:52,"SANGAT DIPERLUKAN, penuh kemudahan"
Muhammad sholeh Aliif saputra jps,5,12/23/2021 1:06,"Trimakasih petugas pln,yg telah melayani kami masyarakat dengan baik,ramah cepat sigap"
Ryanaji Andina,1,12/23/2021 1:06,Saya pengajukan pengaduan atas listrik saya yg padam .. pas di ada di status aplikasi sedang dalam perjalannya .. d liat lagi sudah selesai d perbaiki dan tidak ada orang yang datang ke rumah saya untuk mengecek ... inikah pegawai PLN sekarang ? Kacau
mustopa pauzi,2,12/23/2021 0:16,Kenapa saya susah sekali mendaftar untuk penambahan daya
risman sugianto,1,12/22/2021 23:32,Kalau bisa cek limit token brapa lagi kuota listrik nya jadi bisa si pantau jarak jauh sisa atau limit tokenya...
